auction_id,auction_house_id,artwork_id,date_of_auction,collector_museum_id,bid_data_id,number_of_bids,reserve_price,final_price,artist_id,name,medium,year_created,image,artwork_length,artwork_width,artwork_height,signed,insurance_value,university_id,auction_house_name,location,auction_house_rating,y_price,y_log_price,area,log_area,volume,log_volume,artwork_age,signed_flag,log_insurance,season_q,auction_year,reserve_gt0,premium,is_top_city,nationality,artists_dealers_id,dealer_id,gallery_id,dealer_name,number_of_artists,dealer_avg_earnings,log_dealer_earnings,ownership_count,loan_count,prov_count
AUC-000001,AH-005,ARTW-002115,2013-03-22,COL-0031,AUC-000001,7,,211678,ART-00469,Artwork 2115,Oil on Canvas,2015,https://example.com/art/2115.jpg,87,159,30,False,423850,UNI-001,Dorothea 21,Paris,88,211678,12.262826255225757,13833,9.53488460916053,414990,12.936012112230687,0,0,12.957137257359001,1,2013,0,,1,Swiss,AD-000762,DEALER-029,GALLERY-030,Mason Jackson,16,304595.0,12.62674158738061,,,
AUC-000001,AH-005,ARTW-002115,2013-03-22,COL-0031,AUC-000001,7,,211678,ART-00469,Artwork 2115,Oil on Canvas,2015,https://example.com/art/2115.jpg,87,159,30,False,423850,UNI-001,Dorothea 21,Paris,88,211678,12.262826255225757,13833,9.53488460916053,414990,12.936012112230687,0,0,12.957137257359001,1,2013,0,,1,Swiss,AD-000763,DEALER-025,GALLERY-012,Sophia Williams,13,259192.1,12.465328622735559,,,
AUC-000002,AH-022,ARTW-000598,2011-06-01,COL-0115,AUC-000002,6,216081.0,238963,ART-00133,Artwork 598,Mixed Media,1950,https://example.com/art/598.jpg,37,129,29,False,18339,UNI-001,Philhams 88,Tokyo,72,238963,12.384068191953107,4773,8.470939806898775,138417,11.838033371512392,61,0,9.816839745810455,2,2011,1,0.10589547438229183,1,Thai,AD-000209,DEALER-021,GALLERY-028,Olivia Moore,22,1131754.9,13.939280878450068,,3.0,
AUC-000002,AH-022,ARTW-000598,2011-06-01,COL-0115,AUC-000002,6,216081.0,238963,ART-00133,Artwork 598,Mixed Media,1950,https://example.com/art/598.jpg,37,129,29,False,18339,UNI-001,Philhams 88,Tokyo,72,238963,12.384068191953107,4773,8.470939806898775,138417,11.838033371512392,61,0,9.816839745810455,2,2011,1,0.10589547438229183,1,Thai,AD-000210,DEALER-048,GALLERY-026,Alex Hernandez,13,112368.5,11.62954782730586,,3.0,
AUC-000002,AH-022,ARTW-000598,2011-06-01,COL-0115,AUC-000002,6,216081.0,238963,ART-00133,Artwork 598,Mixed Media,1950,https://example.com/art/598.jpg,37,129,29,False,18339,UNI-001,Philhams 88,Tokyo,72,238963,12.384068191953107,4773,8.470939806898775,138417,11.838033371512392,61,0,9.816839745810455,2,2011,1,0.10589547438229183,1,Thai,AD-000211,DEALER-006,GALLERY-022,Elijah Hernandez,16,91529.4,11.424426436521138,,3.0,
AUC-000003,AH-024,ARTW-000830,2018-11-21,COL-0159,AUC-000003,5,200697.0,214895,ART-00181,Artwork 830,Acrylic,1968,https://example.com/art/830.jpg,166,113,36,True,360464,UNI-005,Lempertz 44,Milan,64,214895,12.277909469148856,18758,9.839428916235407,675288,13.42289602637355,50,1,12.795150143615215,4,2018,1,0.07074345904522739,1,Israeli,AD-000287,DEALER-019,GALLERY-034,Aiden Hernandez,16,379269.9,12.84600600445965,1.0,1.0,
AUC-000003,AH-024,ARTW-000830,2018-11-21,COL-0159,AUC-000003,5,200697.0,214895,ART-00181,Artwork 830,Acrylic,1968,https://example.com/art/830.jpg,166,113,36,True,360464,UNI-005,Lempertz 44,Milan,64,214895,12.277909469148856,18758,9.839428916235407,675288,13.42289602637355,50,1,12.795150143615215,4,2018,1,0.07074345904522739,1,Israeli,AD-000288,DEALER-042,GALLERY-018,Ethan Wilson,15,165610.3,12.017398755320253,1.0,1.0,
AUC-000004,AH-014,ARTW-002253,2012-08-18,COL-0155,AUC-000004,1,35666.0,35852,ART-00500,Artwork 2253,Acrylic,1979,https://example.com/art/2253.jpg,72,176,22,False,192247,UNI-005,Christophers 48,Chicago,60,35852,10.48718252453499,12672,9.447229025082065,278784,12.538196154412518,33,0,12.166541484192841,3,2012,1,0.005215050748612123,0,Japanese,AD-000821,DEALER-048,GALLERY-026,Alex Hernandez,13,112368.5,11.62954782730586,2.0,2.0,6.0
AUC-000005,AH-020,ARTW-001304,2020-05-24,COL-0199,AUC-000005,11,,64593,ART-00287,Artwork 1304,Mixed Media,2003,https://example.com/art/1304.jpg,151,73,40,False,235727,UNI-001,Chrystalis 5,Chicago,94,64593,11.075876806200181,11023,9.30782999325344,440920,12.996621000059802,17,0,12.370433876947136,2,2020,0,,0,Kenyan,AD-000458,DEALER-041,GALLERY-017,Mia Lopez,12,121562.9,11.708195329438098,1.0,,
AUC-000005,AH-020,ARTW-001304,2020-05-24,COL-0199,AUC-000005,11,,64593,ART-00287,Artwork 1304,Mixed Media,2003,https://example.com/art/1304.jpg,151,73,40,False,235727,UNI-001,Chrystalis 5,Chicago,94,64593,11.075876806200181,11023,9.30782999325344,440920,12.996621000059802,17,0,12.370433876947136,2,2020,0,,0,Kenyan,AD-000459,DEALER-055,GALLERY-034,Mason Moore,12,494969.5,13.112253443815321,1.0,,
